Time, Valve, Pump Dir, Pump Time, Measure Time, Purge Time, Notes
2021/5/10 16:23:23, 12, Forward, 20, 30, 25, Automatic - Start!
2021/5/10 16:24:13, 8, Reverse, 20, 30, 25, Automatic
2021/5/10 16:24:39, 10, Forward, 10, 40, 5, Automatic
2021/5/10 16:25:29, 10, Reverse, 10, 40, 5, Automatic
2021/5/10 16:25:55, 12, Forward, 29939, NA, NA, Manual
2021/5/10 16:26:33, 12, Reverse, 30285, NA, NA, Manual
2021/5/10 16:35:08, 12, Forward, 35, 30, 40, Automatic - Start!
2021/5/10 16:36:13, 8, Reverse, 35, 30, 40, Automatic
2021/5/10 16:36:54, 10, Forward, 10, 55, 5, Automatic
2021/5/10 16:37:59, 10, Reverse, 10, 55, 5, Automatic
2021/5/10 16:38:08, 12, Forward, 35, 30, 40, Automatic
2021/5/10 16:39:13, 8, Reverse, 35, 30, 40, Automatic
2021/5/10 16:39:54, 10, Forward, 10, 55, 5, Automatic
2021/5/10 16:47:13, 12, Forward, 30, 30, 30, Automatic - Start!
2021/5/10 16:48:13, 8, Reverse, 30, 30, 30, Automatic
2021/5/10 16:50:12, 10, Forward, 10, 50, 5, Automatic
2021/5/10 16:51:12, 10, Reverse, 10, 50, 5, Automatic
2021/5/10 16:53:12, 12, Forward, 30, 30, 30, Automatic
2021/5/10 16:54:12, 8, Reverse, 30, 30, 30, Automatic
2021/5/10 16:56:12, 10, Forward, 10, 50, 5, Automatic
2021/5/10 16:57:12, 10, Reverse, 10, 50, 5, Automatic
2021/5/10 16:59:12, 12, Forward, 30, 30, 30, Automatic
2021/5/10 17:00:12, 8, Reverse, 30, 30, 30, Automatic
2021/5/10 17:02:12, 10, Forward, 10, 50, 5, Automatic
2021/5/10 17:03:12, 10, Reverse, 10, 50, 5, Automatic
2021/5/10 17:05:12, 12, Forward, 30, 30, 30, Automatic
2021/5/10 17:06:13, 8, Reverse, 30, 30, 30, Automatic
2021/5/10 17:08:12, 10, Forward, 10, 50, 5, Automatic
2021/5/10 17:09:12, 10, Reverse, 10, 50, 5, Automatic
2021/5/10 17:11:12, 12, Forward, 30, 30, 30, Automatic
2021/5/10 17:12:13, 8, Reverse, 30, 30, 30, Automatic
2021/5/10 17:14:12, 10, Forward, 10, 50, 5, Automatic
2021/5/10 17:15:12, 10, Reverse, 10, 50, 5, Automatic
