Time, Valve, Pump Dir, Pump Time, Measure Time, Purge Time, Notes
2019/5/17 18:26:32, 1, Forward, 20030, NA, NA, Manual - Start!
2019/5/17 18:26:57, 1, Reverse, 6205, NA, NA, Manual
2019/5/17 18:29:00, 2, Forward, 21298, NA, NA, Manual - Start!
2019/5/17 18:29:29, 2, Reverse, 7703, NA, NA, Manual
2019/5/17 18:29:45, 3, Forward, 27520, NA, NA, Manual
2019/5/17 18:30:22, 3, Reverse, 10814, NA, NA, Manual
2019/5/17 18:30:40, 4, Forward, 27174, NA, NA, Manual
2019/5/17 18:31:17, 4, Reverse, 10352, NA, NA, Manual
2019/5/17 18:31:35, 5, Forward, 31782, NA, NA, Manual
2019/5/17 18:32:12, 5, Reverse, 11159, NA, NA, Manual
2019/5/17 18:32:29, 6, Forward, 35930, NA, NA, Manual
2019/5/17 18:33:10, 6, Reverse, 10468, NA, NA, Manual
2019/5/17 18:33:26, 7, Forward, 37083, NA, NA, Manual
2019/5/17 18:34:19, 7, Reverse, 15653, NA, NA, Manual
2019/5/17 18:34:42, 7, Forward, 45, 10, 0, Automatic
2019/5/17 18:35:21, 11, Forward, 8509, NA, NA, Manual - Start!
2019/5/17 18:35:35, 11, Reverse, 11274, NA, NA, Manual
2019/5/17 18:35:56, 12, Forward, 15998, NA, NA, Manual
2019/5/17 18:36:22, 12, Reverse, 2749, NA, NA, Manual
2019/5/17 19:14:22, 10, Forward, 10, 45, 5, Automatic - Start!
2019/5/17 19:15:18, 8, Reverse, 10, 45, 5, Automatic
2019/5/17 19:15:23, 12, Forward, 20, 35, 3, Automatic
2019/5/17 19:16:18, 8, Reverse, 20, 35, 3, Automatic
2019/5/17 19:17:12, 1, Forward, 20, 30, 8, Automatic
2019/5/17 19:18:02, 8, Reverse, 20, 30, 8, Automatic
2019/5/17 19:18:11, 12, Forward, 20, 25, 3, Automatic
2019/5/17 19:18:56, 8, Reverse, 20, 25, 3, Automatic
2019/5/17 19:19:29, 10, Reverse, 9776, NA, NA, Manual
2019/5/17 19:24:17, 10, Forward, 10, 45, 5, Automatic - Start!
2019/5/17 19:25:13, 8, Reverse, 10, 45, 5, Automatic
2019/5/17 19:25:18, 12, Forward, 20, 35, 3, Automatic
2019/5/17 19:26:13, 8, Reverse, 20, 35, 3, Automatic
2019/5/17 19:26:18, 1, Reverse, 16229, NA, NA, Manual
2019/5/17 19:38:27, 10, Forward, 10, 45, 5, Automatic - Start!
2019/5/17 19:39:23, 8, Reverse, 10, 45, 5, Automatic
2019/5/17 19:39:28, 12, Forward, 20, 0, 3, Automatic
2019/5/17 19:39:48, 8, Reverse, 20, 0, 3, Automatic
2019/5/17 19:41:17, 1, Forward, 20, 35, 8, Automatic
2019/5/17 19:42:12, 8, Reverse, 20, 35, 8, Automatic
2019/5/17 19:42:21, 12, Forward, 20, 0, 3, Automatic
2019/5/17 19:42:41, 8, Reverse, 20, 0, 3, Automatic
2019/5/17 19:56:52, 10, Forward, 10, 45, 5, Automatic - Start!
2019/5/17 19:57:48, 8, Reverse, 10, 45, 5, Automatic
2019/5/17 19:57:53, 12, Forward, 20, 0, 3, Automatic
2019/5/17 19:58:13, 8, Reverse, 20, 0, 3, Automatic
Reverse, 21068, NA, NA, Manual
2019/5/17 20:01:07, 10, Forward, 10, 45, 5, Automatic - Start!
2019/5/17 20:02:03, 8, Reverse, 10, 45, 5, Automatic
2019/5/20 12:39:13, 10, Forward, 10, 45, 5, Automatic - Start!
2019/5/20 12:40:08, 8, Reverse, 10, 45, 5, Automatic
2019/5/20 12:42:41, 1, Forward, 20, 35, 8, Automatic
2019/5/20 12:43:36, 8, Reverse, 20, 35, 8, Automatic
2019/5/20 12:44:24, 2, Forward, 25, 30, 8, Automatic
2019/5/20 12:45:20, 8, Reverse, 25, 30, 8, Automatic
2019/5/20 12:46:07, 3, Forward, 30, 25, 8, Automatic
2019/5/20 12:47:02, 8, Reverse, 30, 25, 8, Automatic
2019/5/20 12:47:50, 12, Forward, 20, 35, 3, Automatic
2019/5/20 12:48:45, 8, Reverse, 20, 35, 3, Automatic
2019/5/20 12:49:33, 4, Forward, 32, 23, 8, Automatic
2019/5/20 12:50:28, 8, Reverse, 32, 23, 8, Automatic
2019/5/20 12:51:16, 5, Forward, 35, 20, 8, Automatic
2019/5/20 12:52:11, 8, Reverse, 35, 20, 8, Automatic
2019/5/20 12:52:59, 6, Forward, 40, 15, 8, Automatic
2019/5/20 12:53:55, 8, Reverse, 40, 15, 8, Automatic
2019/5/20 12:54:42, 12, Forward, 20, 35, 3, Automatic
2019/5/20 12:55:37, 8, Reverse, 20, 35, 3, Automatic
2019/5/20 12:56:25, 7, Forward, 42, 12, 8, Automatic
2019/5/20 12:57:19, 8, Reverse, 42, 12, 8, Automatic
2019/5/20 12:58:08, 12, Forward, 20, 35, 15, Automatic
2019/5/20 12:59:03, 8, Reverse, 20, 35, 15, Automatic
2019/5/20 12:59:51, 11, Forward, 7, 48, 10, Automatic
2019/5/20 13:00:47, 11, Reverse, 7, 48, 10, Automatic
2019/5/20 13:01:34, 12, Forward, 20, 35, 15, Automatic
2019/5/20 13:02:29, 8, Reverse, 20, 35, 15, Automatic
2019/5/20 13:03:17, 10, Forward, 10, 45, 5, Automatic
2019/5/20 13:04:13, 8, Reverse, 10, 45, 5, Automatic
2019/5/20 13:05:00, 1, Forward, 20, 35, 8, Automatic
2019/5/20 13:05:55, 8, Reverse, 20, 35, 8, Automatic
2019/5/20 13:06:43, 2, Forward, 25, 30, 8, Automatic
2019/5/20 13:07:39, 8, Reverse, 25, 30, 8, Automatic
2019/5/20 13:08:26, 3, Forward, 30, 25, 8, Automatic
2019/5/20 13:09:21, 8, Reverse, 30, 25, 8, Automatic
2019/5/20 13:10:09, 12, Forward, 20, 35, 3, Automatic
2019/5/20 13:11:04, 8, Reverse, 20, 35, 3, Automatic
2019/5/20 13:11:52, 4, Forward, 32, 23, 8, Automatic
2019/5/20 13:12:47, 8, Reverse, 32, 23, 8, Automatic
2019/5/20 13:13:35, 5, Forward, 35, 20, 8, Automatic
2019/5/20 13:14:30, 8, Reverse, 35, 20, 8, Automatic
2019/5/20 13:15:18, 6, Forward, 40, 15, 8, Automatic
2019/5/20 13:16:14, 8, Reverse, 40, 15, 8, Automatic
2019/5/20 13:17:01, 12, Forward, 20, 35, 3, Automatic
2019/5/20 13:17:56, 8, Reverse, 20, 35, 3, Automatic
2019/5/20 13:18:44, 7, Forward, 42, 12, 8, Automatic
2019/5/20 13:19:39, 8, Reverse, 42, 12, 8, Automatic
2019/5/20 13:20:27, 12, Forward, 20, 35, 15, Automatic
2019/5/20 13:21:22, 8, Reverse, 20, 35, 15, Automatic
2019/5/20 13:22:11, 11, Forward, 7, 48, 10, Automatic
2019/5/20 13:23:06, 11, Reverse, 7, 48, 10, Automatic
2019/5/20 13:23:53, 12, Forward, 20, 35, 15, Automatic
2019/5/20 13:24:48, 8, Reverse, 20, 35, 15, Automatic
2019/5/20 13:25:36, 10, Forward, 10, 45, 5, Automatic
2019/5/20 13:26:32, 8, Reverse, 10, 45, 5, Automatic
2019/5/20 13:32:33, 10, Forward, 10, 45, 5, Automatic - Start!
2019/5/20 13:33:28, 8, Reverse, 10, 45, 5, Automatic
2019/5/20 13:36:01, 1, Forward, 20, 35, 8, Automatic
2019/5/20 13:36:56, 8, Reverse, 20, 35, 8, Automatic
2019/5/20 13:37:44, 2, Forward, 25, 30, 8, Automatic
2019/5/20 13:38:39, 8, Reverse, 25, 30, 8, Automatic
2019/5/20 13:39:27, 3, Forward, 30, 25, 8, Automatic
2019/5/20 13:40:22, 8, Reverse, 30, 25, 8, Automatic
2019/5/20 13:41:10, 12, Forward, 20, 35, 3, Automatic
2019/5/20 13:42:05, 8, Reverse, 20, 35, 3, Automatic
2019/5/20 13:42:53, 4, Forward, 32, 23, 8, Automatic
2019/5/20 13:43:48, 8, Reverse, 32, 23, 8, Automatic
2019/5/20 13:44:36, 5, Forward, 35, 20, 8, Automatic
2019/5/20 13:45:31, 8, Reverse, 35, 20, 8, Automatic
2019/5/20 13:46:19, 6, Forward, 40, 15, 8, Automatic
2019/5/20 13:47:14, 8, Reverse, 40, 15, 8, Automatic
2019/5/20 13:48:02, 12, Forward, 20, 35, 3, Automatic
2019/5/20 13:48:57, 8, Reverse, 20, 35, 3, Automatic
2019/5/20 13:49:45, 7, Forward, 42, 12, 8, Automatic
2019/5/20 13:50:39, 8, Reverse, 42, 12, 8, Automatic
2019/5/20 13:51:28, 12, Forward, 20, 35, 15, Automatic
2019/5/20 13:52:23, 8, Reverse, 20, 35, 15, Automatic
2019/5/20 13:53:11, 11, Forward, 7, 48, 10, Automatic
2019/5/20 13:54:06, 11, Reverse, 7, 48, 10, Automatic
2019/5/20 13:54:54, 12, Forward, 20, 35, 15, Automatic
2019/5/20 13:55:49, 8, Reverse, 20, 35, 15, Automatic
2019/5/20 13:56:37, 10, Forward, 10, 45, 5, Automatic
2019/5/20 13:57:32, 8, Reverse, 10, 45, 5, Automatic
2019/5/20 13:58:20, 1, Forward, 20, 35, 8, Automatic
2019/5/20 13:59:15, 8, Reverse, 20, 35, 8, Automatic
2019/5/20 14:00:03, 2, Forward, 25, 30, 8, Automatic
2019/5/20 14:00:58, 8, Reverse, 25, 30, 8, Automatic
2019/5/20 14:01:46, 3, Forward, 30, 25, 8, Automatic
2019/5/20 14:02:41, 8, Reverse, 30, 25, 8, Automatic
2019/5/20 14:03:29, 12, Forward, 20, 35, 3, Automatic
2019/5/20 14:04:24, 8, Reverse, 20, 35, 3, Automatic
2019/5/20 14:05:12, 4, Forward, 32, 23, 8, Automatic
2019/5/20 14:06:07, 8, Reverse, 32, 23, 8, Automatic
2019/5/20 14:06:55, 5, Forward, 35, 20, 8, Automatic
2019/5/20 14:07:50, 8, Reverse, 35, 20, 8, Automatic
2019/5/20 14:08:38, 6, Forward, 40, 15, 8, Automatic
2019/5/20 14:09:33, 8, Reverse, 40, 15, 8, Automatic
2019/5/20 14:10:21, 12, Forward, 20, 35, 3, Automatic
2019/5/20 14:11:16, 8, Reverse, 20, 35, 3, Automatic
2019/5/20 14:12:04, 7, Forward, 42, 12, 8, Automatic
2019/5/20 14:12:58, 8, Reverse, 42, 12, 8, Automatic
2019/5/20 14:13:47, 12, Forward, 20, 35, 15, Automatic
2019/5/20 14:14:42, 8, Reverse, 20, 35, 15, Automatic
2019/5/20 14:15:30, 11, Forward, 7, 48, 10, Automatic
2019/5/20 14:16:25, 11, Reverse, 7, 48, 10, Automatic
2019/5/20 14:17:13, 12, Forward, 20, 35, 15, Automatic
2019/5/20 14:18:08, 8, Reverse, 20, 35, 15, Automatic
2019/5/20 14:18:56, 10, Forward, 10, 45, 5, Automatic
2019/5/20 14:19:51, 8, Reverse, 10, 45, 5, Automatic
2019/5/20 14:20:39, 1, Forward, 20, 35, 8, Automatic
2019/5/20 14:21:34, 8, Reverse, 20, 35, 8, Automatic
2019/5/20 14:22:22, 2, Forward, 25, 30, 8, Automatic
2019/5/20 14:23:17, 8, Reverse, 25, 30, 8, Automatic
2019/5/20 14:24:05, 3, Forward, 30, 25, 8, Automatic
2019/5/20 14:25:00, 8, Reverse, 30, 25, 8, Automatic
2019/5/20 14:25:48, 12, Forward, 20, 35, 3, Automatic
2019/5/20 14:26:43, 8, Reverse, 20, 35, 3, Automatic
2019/5/20 14:27:31, 4, Forward, 32, 23, 8, Automatic
2019/5/20 14:28:26, 8, Reverse, 32, 23, 8, Automatic
2019/5/20 14:29:14, 5, Forward, 35, 20, 8, Automatic
2019/5/20 14:30:10, 8, Reverse, 35, 20, 8, Automatic
2019/5/20 14:30:57, 6, Forward, 40, 15, 8, Automatic
2019/5/20 14:31:52, 8, Reverse, 40, 15, 8, Automatic
2019/5/20 14:32:40, 12, Forward, 20, 35, 3, Automatic
2019/5/20 14:33:35, 8, Reverse, 20, 35, 3, Automatic
2019/5/20 14:34:23, 7, Forward, 42, 12, 8, Automatic
2019/5/20 14:35:17, 8, Reverse, 42, 12, 8, Automatic
2019/5/20 14:36:06, 12, Forward, 20, 35, 15, Automatic
2019/5/20 14:37:01, 8, Reverse, 20, 35, 15, Automatic
2019/5/20 14:37:49, 11, Forward, 7, 48, 10, Automatic
