Time, Valve, Pump Dir, Pump Time, Measure Time, Purge Time, Notes
2019/6/13 9:41:24, 5, Reverse, 33511, NA, NA, Manual - Start!
2019/6/13 9:41:59, 6, Reverse, 47685, NA, NA, Manual
2019/6/13 9:42:50, 7, Reverse, 58745, NA, NA, Manual
2019/6/13 9:45:37, 5, Reverse, 37660, NA, NA, Manual - Start!
2019/6/13 9:46:17, 6, Reverse, 40887, NA, NA, Manual
2019/6/13 9:47:00, 7, Reverse, 49298, NA, NA, Manual
2019/6/13 9:50:04, 7, Forward, 34318, NA, NA, Manual - Start!
2019/6/13 9:52:12, 6, Forward, 30861, NA, NA, Manual - Start!
2019/6/13 9:52:44, 6, Forward, 1368, NA, NA, Manual
2019/6/13 9:54:13, 5, Forward, 21759, NA, NA, Manual - Start!
2019/6/13 10:05:09, 7, Reverse, 68424, NA, NA, Manual - Start!
2019/6/13 10:06:40, 7, Forward, 91696, NA, NA, Manual
2019/6/13 10:08:23, 10, Reverse, 12311, NA, NA, Manual
2019/6/13 10:10:13, 6, Reverse, 9546, NA, NA, Manual - Start!
2019/6/13 10:10:57, 6, Forward, 75912, NA, NA, Manual
2019/6/13 10:12:22, 5, Reverse, 30055, NA, NA, Manual
2019/6/13 10:13:35, 5, Forward, 69689, NA, NA, Manual
2019/6/13 10:14:57, 10, Reverse, 11619, NA, NA, Manual
2019/6/13 10:40:23, 10, Forward, 10, 45, 5, Automatic - Start!
2019/6/13 10:41:18, 8, Reverse, 10, 45, 5, Automatic
2019/6/13 10:42:32, 1, Forward, 20, 35, 8, Automatic
2019/6/13 10:43:27, 8, Reverse, 20, 35, 8, Automatic
2019/6/13 10:44:42, 2, Forward, 25, 30, 8, Automatic
2019/6/13 10:45:37, 8, Reverse, 25, 30, 8, Automatic
2019/6/13 10:46:52, 3, Forward, 30, 25, 8, Automatic
2019/6/13 10:47:47, 8, Reverse, 30, 25, 8, Automatic
2019/6/13 10:49:02, 12, Forward, 20, 35, 3, Automatic
2019/6/13 10:49:57, 8, Reverse, 20, 35, 3, Automatic
2019/6/13 10:51:12, 4, Forward, 32, 23, 8, Automatic
2019/6/13 10:52:07, 8, Reverse, 32, 23, 8, Automatic
2019/6/13 10:53:22, 5, Forward, 35, 20, 8, Automatic
2019/6/13 10:54:17, 8, Reverse, 35, 20, 8, Automatic
2019/6/13 10:55:32, 6, Forward, 40, 15, 8, Automatic
2019/6/13 10:56:27, 8, Reverse, 40, 15, 8, Automatic
2019/6/13 10:57:42, 12, Forward, 20, 35, 3, Automatic
2019/6/13 10:58:37, 8, Reverse, 20, 35, 3, Automatic
2019/6/13 10:59:52, 7, Forward, 42, 12, 8, Automatic
2019/6/13 11:00:46, 8, Reverse, 42, 12, 8, Automatic
2019/6/13 11:02:02, 12, Forward, 20, 35, 15, Automatic
2019/6/13 11:02:57, 8, Reverse, 20, 35, 15, Automatic
2019/6/13 11:04:12, 9, Forward, 7, 48, 10, Automatic
2019/6/13 11:05:07, 9, Reverse, 7, 48, 10, Automatic
2019/6/13 11:06:22, 12, Forward, 20, 35, 15, Automatic
2019/6/13 11:07:17, 8, Reverse, 20, 35, 15, Automatic
2019/6/13 11:15:58, 10, Forward, 5, 15, 5, Automatic - Start!
