Reservoir,Site,DateTime,Depth_m,TFe_mgL,TMn_mgL,SFe_mgL,SMn_mgL,Flag_DateTime,Flag_TFe,Flag_TMn,Flag_SFe,Flag_SMn
FCR,50,2014-05-12 12:00:00,1.6,0.3093,0.01112,0.2218,0.00562,1,0,0,0,0
FCR,50,2014-05-12 12:00:00,2.8,0.2218,0.00621,0.2556,0.00996,1,0,0,0,0
FCR,50,2014-05-12 12:00:00,3.8,0.2685,0.01464,0.1909,0.01077,1,0,0,0,0
FCR,50,2014-05-12 12:00:00,5,0.1909,0.01077,0.2361,0.05759,1,0,0,0,0
FCR,50,2014-05-12 12:00:00,6.2,0.2361,0.05759,0.2615,0.1224,1,0,0,0,0
FCR,50,2014-05-12 12:00:00,8,0.277,0.1224,0.2816,0.09088,1,0,0,0,0
FCR,50,2014-05-12 12:00:00,9,0.2816,0.09088,0.1737,0.00083,1,0,0,0,0
BVR,50,2014-05-14 12:00:00,0.1,0.2112,0.0156,0.2112,0.0156,1,0,0,0,0
BVR,50,2014-05-14 12:00:00,4,0.1608,0.0086,0.1608,0.0086,1,0,0,0,0
BVR,50,2014-05-14 12:00:00,8,0.143,0.0132,0.143,0.0132,1,0,0,0,0
BVR,50,2014-05-14 12:00:00,12,1.52,0.5162,1.52,0.5162,1,0,0,0,0
FCR,50,2014-05-19 12:00:00,0.1,0.1737,0.00083,0.2061,0.00344,1,0,3,0,0
FCR,50,2014-05-19 12:00:00,0.8,0.2061,0.00344,0.1841,0.00071,1,0,0,0,0
FCR,50,2014-05-19 12:00:00,1.6,0.1841,0.00071,0.1618,0.00096,1,0,3,0,3
FCR,50,2014-05-19 12:00:00,2.8,0.1618,0.00096,0.243,0.01008,1,0,3,0,0
FCR,50,2014-05-19 12:00:00,3.8,0.243,0.01008,0.2348,0.02079,1,0,0,0,0
FCR,50,2014-05-19 12:00:00,5,0.2348,0.02079,0.3033,0.07403,1,0,0,0,0
FCR,50,2014-05-19 12:00:00,8,0.1094,0.013,0.1094,0.013,1,0,0,0,0
