"datetime","schmidt.stability"
2020-10-17 10:20:00,3.94706481957864
2020-10-17 10:30:00,3.96438541872239
2020-10-17 10:40:00,3.94472961841207
2020-10-17 10:50:00,3.83798491691258
2020-10-17 11:00:00,3.58127316620678
2020-10-17 11:10:00,3.79249589043217
2020-10-17 11:20:00,3.88116347837885
2020-10-17 11:30:00,3.84092204352538
2020-10-17 11:40:00,3.90458987909645
2020-10-17 11:50:00,3.85345640485436
2020-10-17 12:00:00,3.86619374867381
2020-10-17 12:10:00,3.77850400406376
2020-10-17 12:20:00,3.81491932793401
2020-10-17 12:30:00,3.88460359405838
2020-10-17 12:40:00,3.79935936158423
2020-10-17 12:50:00,3.73475930561703
2020-10-17 13:00:00,3.84959593357897
2020-10-17 13:10:00,3.81655672143122
2020-10-17 13:20:00,3.86839591887702
2020-10-17 13:30:00,3.93854714396311
2020-10-17 13:40:00,4.11836470785586
2020-10-17 13:50:00,4.02188002296035
2020-10-17 14:00:00,4.13672240331155
2020-10-17 14:10:00,3.97244949528654
2020-10-17 14:20:00,3.92451284683467
2020-10-17 14:30:00,4.00513956822831
2020-10-17 14:40:00,4.04138581398769
2020-10-17 14:50:00,4.13674497187643
2020-10-17 15:00:00,4.18170301948615
2020-10-17 15:10:00,4.27554928087509
2020-10-17 15:20:00,4.40582880549927
2020-10-17 15:30:00,4.50719295442798
2020-10-17 15:40:00,4.60194865038077
2020-10-17 15:50:00,4.63801348234989
2020-10-17 16:00:00,4.66886743412729
2020-10-17 16:10:00,4.78410379849683
2020-10-17 16:20:00,4.96030280112343
2020-10-17 16:30:00,5.09889684780012
2020-10-17 16:40:00,5.35845867535013
2020-10-17 16:50:00,5.60913928915579
2020-10-17 17:00:00,5.77047644016251
2020-10-17 17:10:00,5.78451154375718
2020-10-17 17:20:00,5.92476743960076
2020-10-17 17:30:00,5.90140571959494
2020-10-17 17:40:00,6.16060442748085
2020-10-17 17:50:00,6.21713920072522
2020-10-17 18:00:00,6.39065157066388
2020-10-17 18:10:00,6.46372411021011
2020-10-17 18:20:00,6.59521951072865
2020-10-17 18:30:00,6.88693444037643
2020-10-17 18:40:00,6.8595336350605
2020-10-17 18:50:00,6.69885457061898
2020-10-17 19:00:00,6.77720065114896
2020-10-17 19:10:00,6.71271907089033
2020-10-17 19:20:00,6.72003978405738
2020-10-17 19:30:00,6.61793544827548
