"","DateTime","Depth_m","TFe_mgL","TMn_mgL","SFe_mgL","SMn_mgL","ID"
"71",2021-06-11 16:03:59,6.2,2.174567968,0.416311519,1.672841786,0.413595863,89
"72",2021-06-11 16:14:59,8,4.602192266,0.652832105,4.328396379,0.668942996,83
"73",2021-06-11 16:14:59,8,5.715251863,0.738797586,5.188168706,0.749904481,90
"74",2021-06-11 16:25:59,9,6.058021988,0.751269933,5.432051058,0.761117587,84
"75",2021-06-11 16:25:59,9,5.41497759,0.701483404,4.510269763,0.684702541,91
"76",2021-06-11 16:58:59,0.1,0.598714524,0.033649857,0.421752882,0.013393437,85
"77",2021-06-11 17:09:59,1.6,0.593815196,0.03516177,0.39196338,0.009540779,86
"78",2021-06-11 17:20:59,3.8,0.371393529,NA,0.084103017,NA,87
"79",2021-06-15 10:15:59,0.1,0.663678259,0.03216034,0.509762837,0.011904175,92
"80",2021-06-15 10:26:59,1.6,0.676557637,0.032703961,0.516476691,0.011831847,93
"81",2021-06-15 10:37:59,3.8,0.487373012,0.046013579,0.163633696,0.017789697,94
"82",2021-06-15 10:59:59,6.2,2.550393561,0.644289942,0.060211578,0.625635668,96
"83",2021-06-15 11:10:59,8,2.413299939,0.605885242,0.140598788,0.589403677,97
"84",2021-06-15 11:21:59,9,2.534804808,0.641424016,0.236942045,0.638449797,98
"85",2021-06-18 11:21:59,0.1,0.685826427,0.030920699,0.608723478,0.009783626,99
"86",2021-06-18 11:32:59,1.6,NA,0.030856414,0.530683042,0.007650662,100
"87",2021-06-18 11:43:59,3.8,0.572000499,0.054665651,0.157587008,0.011948367,101
"88",2021-06-18 13:05:59,6.2,2.45996858,0.585156326,0.433920356,0.543848536,103
"89",2021-06-18 13:16:59,8,2.725267907,0.681414029,0.045295106,0.691567459,104
"90",2021-06-18 13:27:59,9,2.751191985,0.681688387,0.091627896,0.655638218,105
"91",2021-06-21 07:19:59,3.8,0.491951085,0.051357996,0.03554122,0.01498762,108
"92",2021-06-21 07:41:59,6.2,2.576095922,0.657965603,0.099447587,0.633533196,110
"93",2021-06-21 07:52:59,8,2.84783783,0.713398461,0.033138903,0.688614879,111
"94",2021-06-21 08:03:59,9,2.837366547,0.714269835,0.032832257,0.68218295,112
"95",2021-06-21 08:36:59,0.1,0.685860808,0.028585923,0.572565938,0.014327331,106
"96",2021-06-21 08:47:59,1.6,0.603885343,0.026105306,0.469068247,0.009053788,107
